user_id,F,last_buy,M_proxy,R,分层
1833,10,2017-12-03,8,0,高频多品类用户
1854,2,2017-12-03,2,0,稳定复购用户
1857,1,2017-11-27,1,6,低频沉睡用户
1874,9,2017-12-03,9,0,高频多品类用户
1880,2,2017-12-01,2,2,稳定复购用户
1898,7,2017-12-03,6,0,高频多品类用户
1906,3,2017-12-02,3,1,高频多品类用户
1927,2,2017-12-03,2,0,稳定复购用户
1931,2,2017-11-30,2,3,稳定复购用户
1943,2,2017-11-26,1,7,稳定复购用户
1951,3,2017-12-02,2,1,高频多品类用户
1974,1,2017-11-28,1,5,低频沉睡用户
1977,8,2017-12-01,6,2,高频多品类用户
1980,2,2017-12-01,1,2,稳定复购用户
1982,8,2017-12-03,7,0,高频多品类用户
1997,2,2017-12-02,2,1,稳定复购用户
2004,3,2017-12-02,3,1,高频多品类用户
2005,10,2017-12-01,5,2,高频多品类用户
2007,1,2017-12-03,1,0,新购买用户
2008,3,2017-12-02,3,1,高频多品类用户
2030,2,2017-11-29,1,4,稳定复购用户
2037,4,2017-11-29,2,4,高频多品类用户
2039,1,2017-11-26,1,7,低频沉睡用户
2050,3,2017-11-29,2,4,高频多品类用户
2064,1,2017-12-01,1,2,低频沉睡用户
2104,2,2017-12-02,2,1,稳定复购用户
2105,4,2017-12-03,4,0,高频多品类用户
2110,4,2017-12-02,4,1,高频多品类用户
2119,3,2017-12-02,3,1,高频多品类用户
2127,2,2017-12-02,2,1,稳定复购用户
2142,2,2017-11-27,2,6,稳定复购用户
2145,1,2017-12-02,1,1,新购买用户
2151,3,2017-11-26,2,7,高频多品类用户
2167,8,2017-12-02,7,1,高频多品类用户
2169,2,2017-12-03,2,0,稳定复购用户
10008,3,2017-12-02,3,1,高频多品类用户
10009,10,2017-12-03,9,0,高频多品类用户
10020,1,2017-11-27,1,6,低频沉睡用户
10021,1,2017-12-01,1,2,低频沉睡用户
10024,6,2017-12-02,6,1,高频多品类用户
10027,3,2017-12-01,3,2,高频多品类用户
10034,4,2017-12-03,4,0,高频多品类用户
10035,4,2017-11-27,3,6,高频多品类用户
10044,2,2017-11-28,2,5,稳定复购用户
10045,1,2017-12-01,1,2,低频沉睡用户
10049,1,2017-12-03,1,0,新购买用户
10053,1,2017-11-29,1,4,低频沉睡用户
10057,5,2017-12-01,4,2,高频多品类用户
10075,2,2017-11-29,2,4,稳定复购用户
10078,1,2017-12-02,1,1,新购买用户
10086,2,2017-11-29,1,4,稳定复购用户
10092,1,2017-11-27,1,6,低频沉睡用户
10096,1,2017-11-27,1,6,低频沉睡用户
10111,1,2017-11-28,1,5,低频沉睡用户
10114,3,2017-11-30,3,3,高频多品类用户
10128,1,2017-11-25,1,8,低频沉睡用户
10135,1,2017-12-02,1,1,新购买用户
10139,1,2017-11-29,1,4,低频沉睡用户
10146,2,2017-12-02,2,1,稳定复购用户
10150,1,2017-12-02,1,1,新购买用户
10154,1,2017-11-25,1,8,低频沉睡用户
10156,1,2017-12-02,1,1,新购买用户
10169,3,2017-11-27,3,6,高频多品类用户
10170,7,2017-12-01,5,2,高频多品类用户
10179,3,2017-12-01,3,2,高频多品类用户
10199,2,2017-11-30,2,3,稳定复购用户
10206,1,2017-12-02,1,1,新购买用户
10218,3,2017-12-03,3,0,高频多品类用户
10226,2,2017-12-03,2,0,稳定复购用户
10230,3,2017-12-02,3,1,高频多品类用户
10234,1,2017-12-02,1,1,新购买用户
10236,7,2017-11-29,6,4,高频多品类用户
10240,2,2017-12-01,2,2,稳定复购用户
10246,1,2017-12-02,1,1,新购买用户
10257,2,2017-12-02,2,1,稳定复购用户
10263,3,2017-11-29,3,4,高频多品类用户
10265,4,2017-12-03,4,0,高频多品类用户
10267,6,2017-12-03,4,0,高频多品类用户
10279,1,2017-12-03,1,0,新购买用户
10290,4,2017-12-03,4,0,高频多品类用户
10295,4,2017-12-01,4,2,高频多品类用户
10296,2,2017-12-03,2,0,稳定复购用户
10297,3,2017-12-02,3,1,高频多品类用户
10299,3,2017-12-02,3,1,高频多品类用户
10301,5,2017-12-02,3,1,高频多品类用户
10306,1,2017-11-26,1,7,低频沉睡用户
10311,2,2017-11-30,2,3,稳定复购用户
10315,1,2017-11-27,1,6,低频沉睡用户
10321,3,2017-12-02,3,1,高频多品类用户
10330,1,2017-11-30,1,3,低频沉睡用户
10343,1,2017-12-02,1,1,新购买用户
10363,6,2017-12-01,6,2,高频多品类用户
10365,8,2017-12-01,8,2,高频多品类用户
10368,1,2017-12-03,1,0,新购买用户
10371,1,2017-11-28,1,5,低频沉睡用户
10386,2,2017-11-28,2,5,稳定复购用户
10388,3,2017-11-27,3,6,高频多品类用户
10395,5,2017-12-02,4,1,高频多品类用户
10396,4,2017-12-02,3,1,高频多品类用户
10404,4,2017-12-02,4,1,高频多品类用户
10407,5,2017-12-03,5,0,高频多品类用户
10422,1,2017-11-26,1,7,低频沉睡用户
10435,2,2017-12-01,2,2,稳定复购用户
10449,4,2017-12-03,2,0,高频多品类用户
10452,3,2017-11-26,1,7,稳定复购用户
10458,2,2017-12-01,2,2,稳定复购用户
10464,1,2017-11-27,1,6,低频沉睡用户
10465,2,2017-12-02,2,1,稳定复购用户
10469,11,2017-11-28,9,5,高频多品类用户
10476,6,2017-12-03,5,0,高频多品类用户
10485,1,2017-12-02,1,1,新购买用户
10487,2,2017-11-29,2,4,稳定复购用户
10490,4,2017-12-02,4,1,高频多品类用户
10502,5,2017-12-01,5,2,高频多品类用户
10512,3,2017-12-03,3,0,高频多品类用户
10514,1,2017-11-29,1,4,低频沉睡用户
10515,3,2017-12-03,1,0,稳定复购用户
10517,1,2017-12-01,1,2,低频沉睡用户
10519,4,2017-12-02,4,1,高频多品类用户
10524,1,2017-11-28,1,5,低频沉睡用户
10526,2,2017-12-03,2,0,稳定复购用户
10527,1,2017-12-03,1,0,新购买用户
10529,1,2017-11-29,1,4,低频沉睡用户
10542,1,2017-12-02,1,1,新购买用户
10552,3,2017-12-03,3,0,高频多品类用户
10571,1,2017-12-02,1,1,新购买用户
10593,1,2017-12-03,1,0,新购买用户
10608,6,2017-12-03,6,0,高频多品类用户
10615,1,2017-11-30,1,3,低频沉睡用户
10618,4,2017-12-02,1,1,稳定复购用户
10622,4,2017-11-30,4,3,高频多品类用户
10628,2,2017-12-03,2,0,稳定复购用户
10629,2,2017-11-27,2,6,稳定复购用户
10630,2,2017-11-30,1,3,稳定复购用户
10642,1,2017-11-30,1,3,低频沉睡用户
10645,1,2017-12-02,1,1,新购买用户
10656,2,2017-12-03,1,0,稳定复购用户
10667,1,2017-11-30,1,3,低频沉睡用户
10668,7,2017-12-03,6,0,高频多品类用户
10669,2,2017-11-28,2,5,稳定复购用户
10671,1,2017-11-27,1,6,低频沉睡用户
10676,1,2017-11-28,1,5,低频沉睡用户
10680,2,2017-12-02,2,1,稳定复购用户
10681,12,2017-11-26,11,7,高频多品类用户
10683,4,2017-12-03,4,0,高频多品类用户
10686,1,2017-11-27,1,6,低频沉睡用户
10694,7,2017-12-03,4,0,高频多品类用户
10695,1,2017-12-02,1,1,新购买用户
10705,1,2017-11-30,1,3,低频沉睡用户
10727,1,2017-11-27,1,6,低频沉睡用户
10752,2,2017-11-29,2,4,稳定复购用户
10755,1,2017-11-26,1,7,低频沉睡用户
10757,4,2017-12-03,3,0,高频多品类用户
10769,3,2017-12-01,3,2,高频多品类用户
10772,5,2017-12-03,4,0,高频多品类用户
10776,7,2017-12-03,7,0,高频多品类用户
10777,1,2017-11-28,1,5,低频沉睡用户
10779,3,2017-12-03,2,0,高频多品类用户
10790,1,2017-11-30,1,3,低频沉睡用户
10802,4,2017-12-02,3,1,高频多品类用户
10806,2,2017-11-27,1,6,稳定复购用户
10808,3,2017-12-03,2,0,高频多品类用户
10809,1,2017-12-01,1,2,低频沉睡用户
10810,2,2017-12-01,2,2,稳定复购用户
10836,2,2017-11-29,2,4,稳定复购用户
10843,1,2017-11-30,1,3,低频沉睡用户
10849,3,2017-11-30,3,3,高频多品类用户
10851,2,2017-12-02,2,1,稳定复购用户
10858,6,2017-11-30,4,3,高频多品类用户
10871,4,2017-12-01,3,2,高频多品类用户
10876,1,2017-11-28,1,5,低频沉睡用户
10877,10,2017-11-29,10,4,高频多品类用户
10882,1,2017-11-30,1,3,低频沉睡用户
10888,3,2017-11-28,3,5,高频多品类用户
10895,1,2017-11-25,1,8,低频沉睡用户
10899,14,2017-12-03,4,0,高频多品类用户
10905,2,2017-12-02,2,1,稳定复购用户
10923,1,2017-12-03,1,0,新购买用户
10926,6,2017-12-01,6,2,高频多品类用户
10935,1,2017-11-29,1,4,低频沉睡用户
10960,3,2017-11-30,3,3,高频多品类用户
10968,5,2017-12-02,4,1,高频多品类用户
10969,2,2017-12-02,2,1,稳定复购用户
10983,1,2017-11-29,1,4,低频沉睡用户
10984,5,2017-12-03,5,0,高频多品类用户
10996,4,2017-11-28,4,5,高频多品类用户
11016,4,2017-11-30,1,3,稳定复购用户
11019,1,2017-11-27,1,6,低频沉睡用户
11045,6,2017-12-02,6,1,高频多品类用户
11058,2,2017-11-27,2,6,稳定复购用户
11079,4,2017-12-03,3,0,高频多品类用户
11096,2,2017-11-29,2,4,稳定复购用户
11097,3,2017-11-27,2,6,高频多品类用户
11099,6,2017-12-02,6,1,高频多品类用户
11126,1,2017-12-03,1,0,新购买用户
11140,1,2017-12-02,1,1,新购买用户
11141,9,2017-12-02,5,1,高频多品类用户
11145,5,2017-11-30,2,3,高频多品类用户
11158,2,2017-11-27,2,6,稳定复购用户
11159,4,2017-12-01,3,2,高频多品类用户
11162,4,2017-12-03,3,0,高频多品类用户
11179,3,2017-12-03,3,0,高频多品类用户
11189,2,2017-12-02,2,1,稳定复购用户
11190,7,2017-12-03,5,0,高频多品类用户
11194,4,2017-12-01,3,2,高频多品类用户
11202,2,2017-12-02,2,1,稳定复购用户
11209,1,2017-12-02,1,1,新购买用户
11215,1,2017-12-01,1,2,低频沉睡用户
11222,2,2017-11-26,2,7,稳定复购用户
11225,1,2017-11-30,1,3,低频沉睡用户
11226,8,2017-12-03,6,0,高频多品类用户
11246,1,2017-12-03,1,0,新购买用户
11253,3,2017-11-29,2,4,高频多品类用户
11255,3,2017-12-02,2,1,高频多品类用户
11272,7,2017-12-03,5,0,高频多品类用户
11283,2,2017-12-01,2,2,稳定复购用户
11293,1,2017-11-26,1,7,低频沉睡用户
11294,5,2017-12-03,4,0,高频多品类用户
11295,11,2017-12-03,7,0,高频多品类用户
11304,1,2017-11-27,1,6,低频沉睡用户
11313,2,2017-12-03,2,0,稳定复购用户
11316,1,2017-12-02,1,1,新购买用户
11323,6,2017-12-02,6,1,高频多品类用户
11327,3,2017-11-28,3,5,高频多品类用户
11328,1,2017-11-25,1,8,低频沉睡用户
11341,2,2017-12-03,2,0,稳定复购用户
11343,2,2017-12-02,2,1,稳定复购用户
11344,2,2017-11-30,2,3,稳定复购用户
11345,3,2017-12-01,3,2,高频多品类用户
11377,2,2017-12-03,2,0,稳定复购用户
11379,5,2017-11-28,5,5,高频多品类用户
11380,5,2017-12-02,4,1,高频多品类用户
11386,1,2017-11-30,1,3,低频沉睡用户
11393,6,2017-12-01,4,2,高频多品类用户
11395,2,2017-12-01,2,2,稳定复购用户
11403,7,2017-12-03,4,0,高频多品类用户
11413,1,2017-11-28,1,5,低频沉睡用户
11417,6,2017-12-01,6,2,高频多品类用户
11435,4,2017-11-30,2,3,高频多品类用户
11440,3,2017-12-03,3,0,高频多品类用户
11450,4,2017-11-27,3,6,高频多品类用户
11452,1,2017-12-03,1,0,新购买用户
11465,3,2017-12-03,3,0,高频多品类用户
11495,4,2017-12-03,4,0,高频多品类用户
11497,2,2017-11-28,2,5,稳定复购用户
11498,4,2017-12-02,3,1,高频多品类用户
11501,2,2017-11-29,2,4,稳定复购用户
11503,2,2017-12-03,2,0,稳定复购用户
11504,7,2017-11-28,6,5,高频多品类用户
11507,3,2017-12-03,3,0,高频多品类用户
11509,2,2017-12-03,2,0,稳定复购用户
11517,2,2017-12-03,1,0,稳定复购用户
11524,2,2017-12-03,1,0,稳定复购用户
11531,1,2017-12-01,1,2,低频沉睡用户
11540,1,2017-11-26,1,7,低频沉睡用户
11552,4,2017-11-30,4,3,高频多品类用户
11588,2,2017-11-30,1,3,稳定复购用户
11590,1,2017-12-02,1,1,新购买用户
11594,2,2017-12-01,2,2,稳定复购用户
11601,2,2017-11-26,2,7,稳定复购用户
11610,3,2017-11-30,3,3,高频多品类用户
11611,2,2017-11-28,2,5,稳定复购用户
11619,4,2017-12-01,3,2,高频多品类用户
11625,2,2017-12-03,2,0,稳定复购用户
11663,1,2017-11-26,1,7,低频沉睡用户
11666,3,2017-11-28,2,5,高频多品类用户
11682,3,2017-12-02,3,1,高频多品类用户
11708,4,2017-12-01,4,2,高频多品类用户
11714,7,2017-12-02,3,1,高频多品类用户
11721,7,2017-12-02,7,1,高频多品类用户
11730,4,2017-12-03,3,0,高频多品类用户
11736,1,2017-11-30,1,3,低频沉睡用户
11740,2,2017-11-28,2,5,稳定复购用户
11744,1,2017-12-02,1,1,新购买用户
11763,3,2017-12-03,3,0,高频多品类用户
11770,2,2017-11-29,1,4,稳定复购用户
11774,3,2017-11-28,3,5,高频多品类用户
11783,5,2017-12-01,4,2,高频多品类用户
11792,2,2017-12-03,2,0,稳定复购用户
11800,2,2017-12-03,2,0,稳定复购用户
11812,1,2017-12-03,1,0,新购买用户
11821,1,2017-12-02,1,1,新购买用户
11834,4,2017-12-02,3,1,高频多品类用户
11835,2,2017-11-30,2,3,稳定复购用户
11839,1,2017-11-26,1,7,低频沉睡用户
11855,4,2017-11-28,4,5,高频多品类用户
11889,1,2017-12-03,1,0,新购买用户
11897,1,2017-11-26,1,7,低频沉睡用户
11900,5,2017-12-03,4,0,高频多品类用户
11912,1,2017-11-30,1,3,低频沉睡用户
11916,4,2017-12-03,3,0,高频多品类用户
11921,1,2017-11-30,1,3,低频沉睡用户
11923,1,2017-11-30,1,3,低频沉睡用户
11946,11,2017-12-03,10,0,高频多品类用户
11950,2,2017-12-03,2,0,稳定复购用户
11964,1,2017-11-27,1,6,低频沉睡用户
11970,2,2017-12-03,2,0,稳定复购用户
11975,3,2017-12-03,3,0,高频多品类用户
11976,11,2017-12-03,7,0,高频多品类用户
11988,1,2017-11-25,1,8,低频沉睡用户
11995,1,2017-11-26,1,7,低频沉睡用户
11998,4,2017-11-26,3,7,高频多品类用户
12002,1,2017-11-27,1,6,低频沉睡用户
12004,2,2017-12-02,2,1,稳定复购用户
12026,2,2017-12-02,2,1,稳定复购用户
12035,15,2017-12-02,14,1,高频多品类用户
12037,3,2017-12-02,3,1,高频多品类用户
12050,3,2017-12-01,3,2,高频多品类用户
12064,2,2017-12-03,2,0,稳定复购用户
12068,2,2017-12-03,2,0,稳定复购用户
12077,1,2017-11-30,1,3,低频沉睡用户
12078,2,2017-12-02,2,1,稳定复购用户
12082,1,2017-12-01,1,2,低频沉睡用户
12084,1,2017-11-25,1,8,低频沉睡用户
12087,2,2017-11-29,1,4,稳定复购用户
12088,1,2017-11-28,1,5,低频沉睡用户
12095,5,2017-12-03,5,0,高频多品类用户
12099,3,2017-12-01,3,2,高频多品类用户
12104,4,2017-12-02,2,1,高频多品类用户
12105,3,2017-12-01,3,2,高频多品类用户
12110,2,2017-12-03,2,0,稳定复购用户
12112,3,2017-12-03,3,0,高频多品类用户
12117,2,2017-12-03,2,0,稳定复购用户
12124,4,2017-12-02,3,1,高频多品类用户
12133,3,2017-12-03,3,0,高频多品类用户
12143,4,2017-11-29,4,4,高频多品类用户
12146,3,2017-12-02,3,1,高频多品类用户
12151,6,2017-11-26,5,7,高频多品类用户
12163,1,2017-12-02,1,1,新购买用户
12169,3,2017-11-27,2,6,高频多品类用户
12178,1,2017-11-25,1,8,低频沉睡用户
12180,1,2017-12-01,1,2,低频沉睡用户
12186,4,2017-12-02,4,1,高频多品类用户
12197,1,2017-11-25,1,8,低频沉睡用户
12202,3,2017-12-03,3,0,高频多品类用户
12204,1,2017-12-01,1,2,低频沉睡用户
12213,4,2017-12-03,3,0,高频多品类用户
12218,1,2017-11-27,1,6,低频沉睡用户
12230,2,2017-12-02,2,1,稳定复购用户
12255,1,2017-11-26,1,7,低频沉睡用户
12261,7,2017-11-30,5,3,高频多品类用户
12265,1,2017-12-01,1,2,低频沉睡用户
12268,1,2017-12-02,1,1,新购买用户
12274,3,2017-12-03,3,0,高频多品类用户
12283,1,2017-12-01,1,2,低频沉睡用户
12289,8,2017-12-02,6,1,高频多品类用户
12295,2,2017-12-01,1,2,稳定复购用户
12298,1,2017-11-28,1,5,低频沉睡用户
12308,2,2017-12-01,2,2,稳定复购用户
12322,12,2017-12-02,11,1,高频多品类用户
12325,1,2017-11-29,1,4,低频沉睡用户
12333,3,2017-11-30,3,3,高频多品类用户
12350,2,2017-12-03,2,0,稳定复购用户
12351,5,2017-12-02,4,1,高频多品类用户
12356,2,2017-12-01,2,2,稳定复购用户
12360,1,2017-12-03,1,0,新购买用户
12373,2,2017-11-28,1,5,稳定复购用户
12375,2,2017-12-01,2,2,稳定复购用户
12378,3,2017-12-01,1,2,稳定复购用户
12384,3,2017-12-03,3,0,高频多品类用户
12387,1,2017-12-03,1,0,新购买用户
12389,2,2017-12-02,2,1,稳定复购用户
12394,1,2017-12-02,1,1,新购买用户
12400,4,2017-12-03,3,0,高频多品类用户
12403,2,2017-12-02,1,1,稳定复购用户
12407,3,2017-11-28,3,5,高频多品类用户
12412,1,2017-12-03,1,0,新购买用户
12420,3,2017-11-30,2,3,高频多品类用户
12424,3,2017-12-03,3,0,高频多品类用户
12432,2,2017-12-01,2,2,稳定复购用户
12455,2,2017-12-02,2,1,稳定复购用户
12464,2,2017-11-28,2,5,稳定复购用户
12465,3,2017-11-27,2,6,高频多品类用户
12466,2,2017-12-02,2,1,稳定复购用户
12476,9,2017-12-02,7,1,高频多品类用户
12482,2,2017-12-01,1,2,稳定复购用户
12492,5,2017-12-02,5,1,高频多品类用户
12494,2,2017-11-29,2,4,稳定复购用户
12500,1,2017-12-03,1,0,新购买用户
12524,2,2017-12-03,2,0,稳定复购用户
12548,2,2017-12-01,2,2,稳定复购用户
12566,2,2017-11-29,2,4,稳定复购用户
12568,2,2017-12-03,2,0,稳定复购用户
12569,2,2017-12-01,1,2,稳定复购用户
12574,3,2017-12-03,2,0,高频多品类用户
12576,2,2017-12-03,2,0,稳定复购用户
12578,2,2017-11-30,2,3,稳定复购用户
12589,1,2017-12-01,1,2,低频沉睡用户
12605,4,2017-12-03,3,0,高频多品类用户
12615,3,2017-11-30,2,3,高频多品类用户
12617,1,2017-11-30,1,3,低频沉睡用户
12629,3,2017-12-01,3,2,高频多品类用户
12630,8,2017-12-02,8,1,高频多品类用户
12632,1,2017-12-03,1,0,新购买用户
12644,10,2017-12-03,9,0,高频多品类用户
12645,1,2017-11-28,1,5,低频沉睡用户
12646,6,2017-12-03,5,0,高频多品类用户
12650,1,2017-11-29,1,4,低频沉睡用户
12665,6,2017-12-01,6,2,高频多品类用户
12674,1,2017-12-03,1,0,新购买用户
12699,3,2017-12-01,3,2,高频多品类用户
12700,1,2017-12-03,1,0,新购买用户
12701,15,2017-12-03,11,0,高频多品类用户
12707,2,2017-12-01,2,2,稳定复购用户
12709,1,2017-11-30,1,3,低频沉睡用户
12722,6,2017-12-03,5,0,高频多品类用户
12747,2,2017-12-03,2,0,稳定复购用户
12756,7,2017-12-02,7,1,高频多品类用户
12758,1,2017-11-25,1,8,低频沉睡用户
12763,2,2017-12-03,1,0,稳定复购用户
12764,1,2017-11-25,1,8,低频沉睡用户
12775,5,2017-11-28,5,5,高频多品类用户
12779,1,2017-11-29,1,4,低频沉睡用户
12780,1,2017-11-26,1,7,低频沉睡用户
12788,3,2017-12-01,3,2,高频多品类用户
12795,1,2017-12-02,1,1,新购买用户
12801,17,2017-12-02,13,1,高频多品类用户
12806,3,2017-12-01,3,2,高频多品类用户
12808,3,2017-11-29,3,4,高频多品类用户
12819,1,2017-11-25,1,8,低频沉睡用户
12830,2,2017-11-25,2,8,稳定复购用户
12849,1,2017-11-25,1,8,低频沉睡用户
12851,2,2017-12-02,2,1,稳定复购用户
12860,5,2017-11-30,4,3,高频多品类用户
12872,3,2017-11-29,3,4,高频多品类用户
12885,1,2017-11-25,1,8,低频沉睡用户
12888,1,2017-11-27,1,6,低频沉睡用户
12892,1,2017-11-25,1,8,低频沉睡用户
12930,1,2017-12-01,1,2,低频沉睡用户
12935,2,2017-11-30,2,3,稳定复购用户
12964,3,2017-11-29,3,4,高频多品类用户
12966,1,2017-11-30,1,3,低频沉睡用户
12967,2,2017-12-02,2,1,稳定复购用户
12971,1,2017-11-29,1,4,低频沉睡用户
12991,2,2017-11-25,1,8,稳定复购用户
13006,16,2017-11-29,16,4,高频多品类用户
13008,2,2017-12-03,2,0,稳定复购用户
13012,1,2017-11-29,1,4,低频沉睡用户
13017,2,2017-11-30,2,3,稳定复购用户
13023,2,2017-12-03,2,0,稳定复购用户
13025,6,2017-11-30,1,3,稳定复购用户
13029,6,2017-12-02,4,1,高频多品类用户
13035,3,2017-12-03,3,0,高频多品类用户
13036,4,2017-12-03,4,0,高频多品类用户
13046,1,2017-12-02,1,1,新购买用户
13049,3,2017-12-02,3,1,高频多品类用户
13050,3,2017-11-29,3,4,高频多品类用户
13057,1,2017-11-27,1,6,低频沉睡用户
13061,5,2017-12-02,5,1,高频多品类用户
13063,3,2017-11-26,3,7,高频多品类用户
13070,4,2017-12-03,2,0,高频多品类用户
13072,1,2017-12-03,1,0,新购买用户
13088,1,2017-11-28,1,5,低频沉睡用户
13091,1,2017-12-01,1,2,低频沉睡用户
13098,1,2017-11-29,1,4,低频沉睡用户
13101,1,2017-11-25,1,8,低频沉睡用户
13111,3,2017-12-03,3,0,高频多品类用户
13112,1,2017-12-02,1,1,新购买用户
13114,1,2017-11-27,1,6,低频沉睡用户
13137,1,2017-11-30,1,3,低频沉睡用户
13141,1,2017-11-25,1,8,低频沉睡用户
